Бит 1, power_0=0.19, power_1=0.87, pos=304040
Бит 1, power_0=6.96, power_1=26.30, pos=304590
Бит 1, power_0=1.76, power_1=8.35, pos=305800
Бит 1, power_0=6.50, power_1=1508.30, pos=310310
Бит 1, power_0=1.43, power_1=6.07, pos=312290
Бит 1, power_0=8.58, power_1=33.57, pos=313060
Бит 1, power_0=0.69, power_1=2.67, pos=313720
Бит 0, power_0=726.38, power_1=17.20, pos=315370
Бит 0, power_0=720.01, power_1=12.52, pos=316800
Бит 0, power_0=659.36, power_1=15.70, pos=318230
Бит 1, power_0=0.61, power_1=3.11, pos=320100
Бит 1, power_0=13.63, power_1=56.52, pos=320650
Бит 1, power_0=0.86, power_1=4.30, pos=321640
Бит 1, power_0=8.41, power_1=845.55, pos=323290
Бит 1, power_0=6.91, power_1=810.38, pos=324720
Бит 1, power_0=9.01, power_1=766.15, pos=326150
Бит 1, power_0=0.39, power_1=1.61, pos=327910
Бит 1, power_0=0.77, power_1=3.54, pos=328350
Бит 1, power_0=1.27, power_1=5.26, pos=329560
Бит 1, power_0=1.75, power_1=7.66, pos=336160
Бит 1, power_0=0.81, power_1=3.89, pos=336820
Бит 1, power_0=0.98, power_1=3.58, pos=337480
Бит 1, power_0=2.39, power_1=2079.73, pos=337810
Бит 1, power_0=4.53, power_1=1697.28, pos=339900
Бит 1, power_0=0.52, power_1=2.51, pos=343860
Бит 1, power_0=0.89, power_1=4.30, pos=344520
Бит 1, power_0=0.63, power_1=3.01, pos=345400
Бит 1, power_0=5.91, power_1=1363.87, pos=346390
Бит 1, power_0=6.64, power_1=1325.26, pos=347820
Бит 0, power_0=726.38, power_1=17.20, pos=349250
Бит 1, power_0=7.87, power_1=1167.63, pos=350680
Бит 1, power_0=0.23, power_1=1.13, pos=351670
Бит 1, power_0=11.28, power_1=47.69, pos=352220
Бит 1, power_0=1.62, power_1=7.88, pos=353320
Бит 0, power_0=610.64, power_1=13.70, pos=354310
Бит 0, power_0=576.73, power_1=11.56, pos=355740
Бит 0, power_0=532.22, power_1=14.93, pos=357170
Бит 1, power_0=6.91, power_1=810.38, pos=358600
Бит 1, power_0=1.81, power_1=7.24, pos=359920
Бит 1, power_0=8.03, power_1=33.97, pos=360690
Бит 1, power_0=0.63, power_1=2.52, pos=361240
Бит 0, power_0=421.25, power_1=12.67, pos=362230
Бит 1, power_0=0.73, power_1=3.56, pos=367730
Бит 1, power_0=0.86, power_1=4.21, pos=368390
Бит 1, power_0=0.41, power_1=1.98, pos=369270
Бит 1, power_0=1.88, power_1=4052.88, pos=371690
Бит 0, power_0=920.79, power_1=19.86, pos=373780
Бит 1, power_0=0.44, power_1=1.93, pos=375540
Бит 1, power_0=9.02, power_1=33.59, pos=376090
Бит 1, power_0=1.31, power_1=6.27, pos=377190
Бит 1, power_0=7.54, power_1=1418.25, pos=378840
Бит 1, power_0=5.91, power_1=1363.87, pos=380270
Бит 1, power_0=6.64, power_1=1325.26, pos=381700
Бит 1, power_0=2.08, power_1=8.64, pos=383790
Бит 1, power_0=2.62, power_1=11.37, pos=385110
Бит 0, power_0=614.94, power_1=15.61, pos=386760
Бит 0, power_0=610.64, power_1=13.70, pos=388190
Бит 0, power_0=576.73, power_1=11.56, pos=389620
Бит 1, power_0=0.68, power_1=3.18, pos=391490
Бит 1, power_0=0.95, power_1=4.41, pos=392150
Бит 1, power_0=0.57, power_1=2.61, pos=393030
Бит 1, power_0=0.28, power_1=1.46, pos=399300
Бит 1, power_0=12.29, power_1=50.97, pos=399850
Бит 1, power_0=1.45, power_1=7.08, pos=400950
Бит 1, power_0=3.78, power_1=1910.58, pos=401940
Бит 1, power_0=3.38, power_1=1880.34, pos=403370
Бит 1, power_0=2.24, power_1=8.52, pos=407550
Бит 1, power_0=2.31, power_1=8.96, pos=408870
Бит 0, power_0=887.68, power_1=16.39, pos=409860
Бит 1, power_0=7.00, power_1=1506.13, pos=411290
Бит 1, power_0=7.54, power_1=1418.25, pos=412720
Бит 1, power_0=5.91, power_1=1363.87, pos=414150
Бит 1, power_0=0.93, power_1=4.43, pos=415360
Бит 1, power_0=0.88, power_1=4.22, pos=416020
Бит 1, power_0=0.35, power_1=1.77, pos=416790
Бит 1, power_0=8.81, power_1=1164.15, pos=417780
Бит 1, power_0=8.89, power_1=1078.41, pos=419210
Бит 0, power_0=614.94, power_1=15.61, pos=420640
Бит 0, power_0=610.64, power_1=13.70, pos=422070
Бит 1, power_0=0.49, power_1=2.27, pos=423170
Бит 1, power_0=13.12, power_1=54.63, pos=423720
Бит 1, power_0=1.07, power_1=5.39, pos=424710
Бит 0, power_0=493.73, power_1=14.32, pos=425700
Бит 1, power_0=6.97, power_1=723.65, pos=427130
Бит 1, power_0=8.10, power_1=690.64, pos=428560
Бит 1, power_0=2.23, power_1=2150.08, pos=429330
Бит 1, power_0=2.50, power_1=9.80, pos=431420
Бит 1, power_0=2.03, power_1=9.49, pos=432630
Бит 1, power_0=6.35, power_1=473.86, pos=433620
Бит 1, power_0=7.41, power_1=447.74, pos=435050
Бит 1, power_0=0.90, power_1=3.95, pos=439120
Бит 1, power_0=11.37, power_1=47.16, pos=439890
Бит 1, power_0=0.18, power_1=0.92, pos=440660
Бит 1, power_0=5.44, power_1=1601.92, pos=442310
Бит 0, power_0=887.68, power_1=16.39, pos=443740
Бит 0, power_0=850.61, power_1=15.08, pos=445170
Бит 1, power_0=0.35, power_1=1.71, pos=446930
Бит 1, power_0=12.78, power_1=52.98, pos=447480
Бит 1, power_0=0.51, power_1=2.35, pos=448580
Бит 0, power_0=705.65, power_1=15.63, pos=450230
Бит 0, power_0=688.34, power_1=16.09, pos=451660
Бит 0, power_0=672.77, power_1=12.03, pos=453090
Бит 1, power_0=0.51, power_1=1.93, pos=454850
Бит 1, power_0=0.70, power_1=3.44, pos=455290
Бит 1, power_0=1.92, power_1=8.89, pos=456500
Бит 1, power_0=9.69, power_1=841.41, pos=458150
Бит 1, power_0=9.26, power_1=766.03, pos=459580
Бит 1, power_0=6.97, power_1=723.65, pos=461010
Бит 1, power_0=1.24, power_1=5.35, pos=462990
Бит 1, power_0=0.92, power_1=4.27, pos=463650
Бит 1, power_0=0.29, power_1=1.39, pos=464420
Бит 1, power_0=2.40, power_1=2062.45, pos=465410
Бит 0, power_0=1039.53, power_1=19.20, pos=469040
Бит 1, power_0=0.55, power_1=2.67, pos=470800
Бит 1, power_0=13.55, power_1=56.08, pos=471350
Бит 1, power_0=0.95, power_1=4.77, pos=472340
Бит 0, power_0=880.63, power_1=19.80, pos=476190
Бит 1, power_0=5.01, power_1=1566.83, pos=477620
Бит 1, power_0=0.32, power_1=1.38, pos=478610
Бит 1, power_0=0.72, power_1=3.37, pos=479050
Бит 1, power_0=1.48, power_1=6.00, pos=480260
Бит 1, power_0=1.10, power_1=2283.98, pos=480590
Бит 1, power_0=6.80, power_1=1263.30, pos=482680
Бит 0, power_0=705.65, power_1=15.63, pos=484110
